"Week","Team 1 ID","Team 1 Name","Team 2 ID","Team 2 Name","Complete","Playoff","Consolation","Team 1 Points","Team 2 Points","Team 1 FG%","Team 2 FG%","Team 1 FT%","Team 2 FT%","Team 1 3PTM","Team 2 3PTM","Team 1 PTS","Team 2 PTS","Team 1 REB","Team 2 REB","Team 1 AST","Team 2 AST","Team 1 ST","Team 2 ST","Team 1 BLK","Team 2 BLK","Team 1 TO","Team 2 TO"
"1","428.l.17058.t.1","Airball's","428.l.17058.t.13","Copes team","True","False","False","5","3","0.429","0.487","0.757","0.800","49","34","396","438","186","178","86","83","27","27","23","21","49","56"
"1","428.l.17058.t.2","Hoodie's Team","428.l.17058.t.10","Boñekos","True","False","False","7","2","0.466","0.410","0.764","0.783","43","56","475","424","151","130","113","112","33","24","18","10","65","66"
"1","428.l.17058.t.3","Apòstol del 675","428.l.17058.t.16","PistosCF","True","False","False","3","5","0.503","0.450","0.740","0.811","37","58","390","523","195","147","75","120","27","31","22","14","60","60"
"1","428.l.17058.t.4","Kobe s team","428.l.17058.t.12","Dallas crustaciks","True","False","False","3","5","0.470","0.439","0.775","0.789","58","48","519","477","195","198","57","104","29","33","13","25","57","57"
"1","428.l.17058.t.5","Solfa","428.l.17058.t.14","Nottingan prisa","True","False","False","5","4","0.469","0.439","0.753","0.806","54","48","442","420","172","176","96","88","34","39","21","15","57","47"
"1","428.l.17058.t.6","Danilovic a fool","428.l.17058.t.15","weeeeeeaaaaaaa","True","False","False","3","6","0.469","0.507","0.686","0.765","57","39","482","502","211","150","120","115","22","37","21","24","56","53"
"1","428.l.17058.t.7","Bandolers","428.l.17058.t.8","Llonganís de l'Empordà","True","False","False","1","8","0.446","0.468","0.738","0.809","34","56","333","572","135","244","74","167","14","39","18","24","41","79"
"1","428.l.17058.t.9","Champagne Swaggers","428.l.17058.t.11","Anacards","True","False","False","5","4","0.445","0.469","0.808","0.733","40","29","381","401","165","171","97","103","35","18","22","20","47","60"
"2","428.l.17058.t.1","Airball's","428.l.17058.t.4","Kobe s team","True","False","False","5","4","0.454","0.482","0.737","0.686","73","68","599","544","196","210","138","83","31","22","28","29","71","65"
"2","428.l.17058.t.2","Hoodie's Team","428.l.17058.t.6","Danilovic a fool","True","False","False","3","6","0.505","0.434","0.745","0.809","59","50","530","667","161","272","104","150","32","37","26","36","70","87"
"2","428.l.17058.t.3","Apòstol del 675","428.l.17058.t.11","Anacards","True","False","False","7","2","0.509","0.473","0.815","0.701","71","49","603","602","266","205","111","136","31","33","32","16","55","93"
"2","428.l.17058.t.5","Solfa","428.l.17058.t.7","Bandolers","True","False","False","4","5","0.447","0.493","0.793","0.779","44","51","470","521","207","219","130","126","40","28","29","34","49","54"
"2","428.l.17058.t.8","Llonganís de l'Empordà","428.l.17058.t.9","Champagne Swaggers","True","False","False","5","4","0.506","0.505","0.740","0.798","66","69","666","588","250","234","182","169","44","38","24","36","94","80"
"2","428.l.17058.t.10","Boñekos","428.l.17058.t.13","Copes team","True","False","False","4","5","0.473","0.503","0.759","0.766","58","55","520","483","178","189","122","75","44","28","17","25","66","64"
"2","428.l.17058.t.12","Dallas crustaciks","428.l.17058.t.16","PistosCF","True","False","False","5","4","0.490","0.451","0.807","0.859","48","78","569","755","241","168","141","179","40","36","32","16","58","74"
"2","428.l.17058.t.14","Nottingan prisa","428.l.17058.t.15","weeeeeeaaaaaaa","True","False","False","5","3","0.499","0.468","0.800","0.849","70","50","574","619","204","192","119","145","53","31","21","21","77","85"
"3","428.l.17058.t.1","Airball's","428.l.17058.t.16","PistosCF","True","False","False","4","5","0.466","0.441","0.818","0.884","57","73","448","607","168","190","100","122","33","32","18","15","53","57"
"3","428.l.17058.t.2","Hoodie's Team","428.l.17058.t.14","Nottingan prisa","True","False","False","3","6","0.476","0.481","0.783","0.821","71","73","677","627","188","180","158","112","26","28","19","20","80","59"
"3","428.l.17058.t.3","Apòstol del 675","428.l.17058.t.8","Llonganís de l'Empordà","True","False","False","3","6","0.447","0.484","0.765","0.824","43","82","485","740","278","243","115","163","37","38","27","26","70","82"
"3","428.l.17058.t.4","Kobe s team","428.l.17058.t.10","Boñekos","True","False","False","6","3","0.501","0.423","0.761","0.869","53","51","644","500","200","181","84","156","32","28","26","11","71","65"
"3","428.l.17058.t.5","Solfa","428.l.17058.t.15","weeeeeeaaaaaaa","True","False","False","3","6","0.489","0.471","0.733","0.787","49","56","532","683","270","219","115","151","35","45","26","31","56","84"
"3","428.l.17058.t.6","Danilovic a fool","428.l.17058.t.13","Copes team","True","False","False","4","5","0.454","0.463","0.792","0.814","55","50","582","545","222","233","122","105","38","36","26","30","85","58"
"3","428.l.17058.t.7","Bandolers","428.l.17058.t.9","Champagne Swaggers","True","False","False","3","6","0.483","0.451","0.763","0.792","66","60","566","619","217","251","130","154","24","47","33","36","60","82"
"3","428.l.17058.t.11","Anacards","428.l.17058.t.12","Dallas crustaciks","True","False","False","3","5","0.467","0.463","0.805","0.810","44","67","565","586","221","221","149","135","31","37","25","22","93","55"
"4","428.l.17058.t.1","Airball's","428.l.17058.t.11","Anacards","True","False","False","8","1","0.507","0.489","0.825","0.652","73","55","607","542","208","204","120","135","41","36","21","20","56","66"
